num	attraction	latitude	longitude
427	Whitecross Street Market	51.5222401	-0.09283699999999999
428	DreamWork's Tours Shrek's Adventure! London	51.501485	-0.11864
429	East London Mosque & London Muslim Centre	51.5175695	-0.06548749999999999
430	The Rose Theatre	51.4925136	-0.0716673
431	Dulwich Park	51.446534	-0.0827
432	St. James's Palace	51.5073509	-0.1277583
433	London Victoria Station	51.4952103	-0.1438979
434	Grosvenor Square	51.5073509	-0.1277583
435	Australian War Memorial	51.5034719	-0.1516708
436	Adelphi Theatre	51.5101129	-0.122783
437	Nunhead Cemetery, South London	51.464275	-0.053129
438	Krav Maga Self Defence	51.4559774	-0.1195762
439	Paternoster Square	51.5138453	-0.0983506
440	Shaftesbury Avenue	51.5073509	-0.1277583
441	David Bowie Memorial	51.4627524	-0.1152371
442	Royal Geographical Society with IBG	51.5015549	-0.1749849
443	Discover Greenwich Visitor Centre	51.4832762	-0.0055729
444	Shad Thames	51.5073509	-0.1277583
445	Sunday Up Market	51.5209869	-0.0733042
446	Chelsea	51.485093	-0.174936
447	Arcola Theatre	51.5520069	-0.07365840000000001
448	Fashion and Textile Museum	51.5011585	-0.081713
449	2 Willow Road	51.55782749999999	-0.1739416
450	London Transport Museum Depot	51.504943	-0.2814475
451	Lincoln's Inn Fields	51.5073509	-0.1277583
452	Savile Row	51.5073509	-0.1277583
453	Selhurst Park	51.4002412	-0.0852884
454	Whistle Punks Urban Axe Throwing	51.48344969999999	-0.125042
455	Wireless Festival	51.5745549	-0.102871
456	Crossbones Graveyard	51.503687	-0.0937818
457	Lumiere London 2018, 18-21 January, 17.30-22.30	51.5087668	-0.1382078
458	The Thames Barrier	51.494629	0.041445
459	St. Stephen Walbrook	51.5127175	-0.090129
460	Platform 9 3/4	51.5316396	-0.1244231
461	Bankside Gallery	51.5081414	-0.101209
462	Abney Park Cemetery	51.5635566	-0.0733602
463	Mansion House of City of London	51.5126019	-0.0902099
464	Millennium Mile	51.5073509	-0.1277583
465	Hammersmith	51.492943	-0.227554
466	Traffic Light Tree	51.5044805	-0.0126046
467	HQS Wellington	51.5105941	-0.1123425
468	Above The Stag Theatre	51.4826892	-0.1256427
469	Lambeth Palace	51.4959974	-0.120462
470	St. Etheldreda's	51.5187146	-0.1072443
471	Bloomsbury	51.5073509	-0.1277583
472	Strand	51.5073509	-0.1277583
473	Sloane Street	51.5073509	-0.1277583
474	The Cinema Museum	51.4922943	-0.1052203
475	St. Mary-le-Bow	51.5141905	-0.09452909999999999
476	Whitechapel Gallery	51.5160864	-0.07011479999999999
477	Bunhill Fields	51.5232509	-0.08730099999999999
478	Beavertown Brewery	51.5908506	-0.0567568
479	Roman Amphitheatre	51.5158998	-0.0919878
480	Halcyon Gallery	51.5114592	-0.1438687
481	Christ Church Spitalfields	51.5191153	-0.0739399
482	New Zealand Memorial	51.5072682	-0.1657303
483	Little Ben	51.4965451	-0.1420983
484	Trinity Hill Memorial	51.5103599	-0.07731729999999999
485	Jamon Jamon Paella	51.5150853	-0.2045479
486	Cecil Court	51.5107333	-0.1268242
487	575 Wandsworth Road	51.4696864	-0.1406211
488	St Paul's Church	51.4796158	-0.0244434
489	The London Loop	51.6281312	-0.44818
490	London Wall	51.5170204	-0.0868246
491	Royal London Hospital Museum	51.5170468	-0.0604823
492	Holborn	51.5073509	-0.1277583
493	Tower Hamlets Cemetery Park	51.5284814	-0.0186677
494	Jermyn Street Theatre	51.5091204	-0.1348751
495	Kensal Green Cemetery	51.528066	-0.2173654
496	Waterlow Park	51.5684915	-0.1438158
497	The Design Museum	51.49888559999999	-0.1998335
498	Woolwich Ferry	51.4942018	0.0612534
499	Lee Valley Regional Park	51.6746158	-0.0599899
500	St. John's Wood	51.5073509	-0.1277583
501	West Norwood Cemetery	51.4431235	-0.1051136
502	Sherlock Holmes Museum	51.523767	-0.1585557
503	City of London Police Museum	51.51578379999999	-0.0928676
504	Acklam Village Market	51.519506	-0.2063588
505	Fourpure Brewing Co.	51.4893987	-0.05517089999999999
506	St Pancras Parish Church	51.5273938	-0.1305095
507	The Who Shop	51.5307533	0.0398883
